"contest_id","year","party","endorsee","endorser_name","endorser_description","endorser_party_note","state","district","date_raw","note","switch_direction","switch_candidate","evidence_url","parsed_ok","raw_text"
"2008D",2008,"D","CLINTON","Denver Post","Newspaper",,,,"02/03/08",,,,,TRUE,"Denver Post (02/03/08)"
"2008D",2008,"D","OBAMA","Cortez Journal","Newspaper",,,,"02/02/08",,,,,TRUE,"Cortez Journal (02/02/08)"
"2008D",2008,"D","OBAMA","Durango Herald","Newspaper",,,,"02/03/08",,,,,TRUE,"Durango Herald (02/03/08)"
"2008D",2008,"D","OBAMA","Aspen Times","Newspaper - Weeklies",,,,"02/01/08",,,,,TRUE,"Aspen Times (02/01/08)"
"2008D",2008,"D","OBAMA","Colorado Springs Independent","Newspaper - Weeklies",,,,"01/31/08",,,,,TRUE,"Colorado Springs Independent (01/31/08)"
"2008R",2008,"R","McCAIN","Cortez Journal","Newspaper",,,,"02/02/08",,,,,TRUE,"Cortez Journal (02/02/08)"
"2008R",2008,"R","McCAIN","Durango Herald","Newspaper",,,,"02/03/08",,,,,TRUE,"Durango Herald (02/03/08)"
"2008R",2008,"R","McCAIN","Aspen Times","Newspaper - Weekly",,,,"02/01/08",,,,,TRUE,"Aspen Times (02/01/08)"
"2008R",2008,"R","PAUL","Colorado Springs Independent","Newspaper - Weekly (""recommendation"")",,,,"01/31/08",,,,,TRUE,"Colorado Springs Independent (01/31/08)"
"2008R",2008,"R","ROMNEY","Denver Post","Newspaper",,,,"02/03/08",,,,,TRUE,"Denver Post (02/03/08)"
"2008D",2008,"D","CLINTON","Hartford Courant","Newspaper",,,,"01/27/08",,,,,TRUE,"Hartford Courant (01/27/08)"
"2008D",2008,"D","OBAMA","Connecticut Post","Newspaper",,,,"02/ /08",,,,,TRUE,"Connecticut Post (02/ /08)"
"2008D",2008,"D","OBAMA","The Day","Newspaper",,,,"01/29/08",,,,,TRUE,"The Day (01/29/08)"
"2008D",2008,"D","OBAMA","Norwich Bulletin","Newspaper",,,,"01/30/08",,,,,TRUE,"Norwich Bulletin (01/30/08)"
"2008D",2008,"D","OBAMA","Yale Daily News","Newspaper - Specialty",,,,"02/01/08",,,,,TRUE,"Yale Daily News (02/01/08)"
"2008R",2008,"R","McCAIN","Connecticut Post","Newspaper",,,,"02/ /08",,,,,TRUE,"Connecticut Post (02/ /08)"
"2008R",2008,"R","McCAIN","Norwich Bulletin","Newspaper",,,,"01/30/08",,,,,TRUE,"Norwich Bulletin (01/30/08)"
"2008R",2008,"R","McCAIN","Yale Daily News","Newspaper - Specialty",,,,"02/01/08",,,,,TRUE,"Yale Daily News (02/01/08)"
"2008R",2008,"R","ROMNEY","Hartford Courant","Newspaper",,,,"01/27/08",,,,,TRUE,"Hartford Courant (01/27/08)"
"2008D",2008,"D","OBAMA","The Albany Herald","Newspaper",,,,"02/03/08",,,,,TRUE,"The Albany Herald (02/03/08)"
