contest_id,year,party,endorsee,endorser_name,endorser_description,endorser_party_note,state,district,date_raw,note,switch_direction,switch_candidate,evidence_url,parsed_ok,raw_text
2008R,2008,R,McCain,Peter Roskam,U.S. Representative,,IL,6,"Nov. 13, 2007",,,,,TRUE,"U.S. Rep. Peter Roskam (IL-6) (Nov. 13, 2007)"
2008R,2008,R,McCain,Mark Kirk,U.S. Representative,,IL,10,"Jan. 31, 2007",,,,,TRUE,"U.S. Rep. Mark Kirk (IL-10) (Jan. 31, 2007)"
2008R,2008,R,McCain,Ray LaHood,U.S. Representative,,IL,18,for ex. Jan. 10 article in The Hill,,,,,TRUE,U.S. Rep. Ray LaHood (IL-18) (for ex. Jan. 10 article in The Hill)
2008R,2008,R,McCain,John Shimkus,U.S. Representative,,IL,19,"Jan. 31, 2007",,,,,TRUE,"U.S. Rep. John Shimkus (IL-19) (Jan. 31, 2007)"
2008R,2008,R,McCain,Fred Upton,U.S. Representative,,MI,6,"Jan. 31, 2007",,,,,TRUE,"U.S. Rep. Fred Upton (MI-6) (Jan. 31, 2007)"
2008R,2008,R,McCain,Chip Pickering,U.S. Representative,,MS,3,"Feb. 22, 2007",,,,,TRUE,"U.S. Rep. Chip Pickering (MS-3) (Feb. 22, 2007)"
2008R,2008,R,McCain,Frank LoBiondo,U.S. Representative,,NJ,2,"Feb. 2, 2008",previously backed Giuliani,,,,TRUE,"U.S. Rep. Frank LoBiondo (NJ-2) (Feb. 2, 2008; previously backed Giuliani)"
2008R,2008,R,McCain,Peter King,U.S. Representative,,NY,3,"Feb. 2, 2008",previously backed Giuliani,,,,TRUE,"U.S. Rep. Peter King (NY-3) (Feb. 2, 2008; previously backed Giuliani)"
2008R,2008,R,McCain,Randy Kuhl,U.S. Representative,,NY,29,"Feb. 2, 2008",,,,,TRUE,"U.S. Rep. Randy Kuhl (NY-29) (Feb. 2, 2008)"
2008R,2008,R,McCain,Steven LaTourette,U.S. Representative,,OH,14,"Feb. 7, 2007",,,,http://p2008.org/cands08/endorse/endsl020707.html,TRUE,"U.S. Rep. Steven LaTourette (OH-14) (Feb. 7, 2007) +"
2008R,2008,R,McCain,Deborah Pryce,U.S. Representative,,OH,15,"Feb. 2, 2008",,,,,TRUE,"U.S. Rep. Deborah Pryce (OH-15) (Feb. 2, 2008)"
2008R,2008,R,McCain,Jim Gerlach,U.S. Representative,,PA,6,"Feb. 2, 2008",previously backed Giuliani,,,,TRUE,"U.S. Rep. Jim Gerlach (PA-6) (Feb. 2, 2008; previously backed Giuliani)"
2008R,2008,R,McCain,Todd Platts,U.S. Representative,,PA,19,"Mar. 22, 2007",,,,,TRUE,"U.S. Rep. Todd Platts (PA-19) (Mar. 22, 2007)"
